"1.3.0","1.3.0","BTS"
"1.3.100","1.3.100","GAS","bitGAS"
"1.3.101","1.3.101","DIESEL","bitDIESEL"
"1.3.102","1.3.102","KRW","bitKRW"
"1.3.103","1.3.103","BTC","bitBTC"
"1.3.104","1.3.104","OIL","bitOIL"
"1.3.105","1.3.105","SILVER","bitSILVER"
"1.3.106","1.3.106","GOLD","bitGOLD"
"1.3.107","1.3.107","TRY","bitTRY"
"1.3.108","1.3.108","SGD","bitSGD"
"1.3.109","1.3.109","HKD","bitHKD"
"1.3.110","1.3.110","RUB","bitRUB"
"1.3.111","1.3.111","SEK","bitSEK"
"1.3.112","1.3.112","NZD","bitNZD"
"1.3.113","1.3.113","CNY","bitCNY"
"1.3.114","1.3.114","MXN","bitMXN"
"1.3.115","1.3.115","CAD","bitCAD"
"1.3.116","1.3.116","CHF","bitCHF"
"1.3.117","1.3.117","AUD","bitAUD"
"1.3.118","1.3.118","GBP","bitGBP"
"1.3.119","1.3.119","JPY","bitJPY"
"1.3.120","1.3.120","EUR","bitEUR"
"1.3.121","1.3.121","USD","bitUSD"
"1.3.122","1.3.122","LAB"
"1.3.123","1.3.123","IFTN"
"1.3.124","1.3.124","LOVE"
"1.3.125","1.3.125","NOK"
"1.3.126","1.3.126","FREE"
"1.3.127","1.3.127","STAR"
"1.3.128","1.3.128","PAN"
"1.3.129","1.3.129","LTB"
"1.3.130","1.3.130","HLP"
"1.3.131","1.3.131","VND"
"1.3.132","1.3.132","VTC"
"1.3.133","1.3.133","AIR"
"1.3.134","1.3.134","GEM"
"1.3.135","1.3.135","POOL"
"1.3.136","1.3.136","ROSE"
"1.3.137","1.3.137","BST"
"1.3.138","1.3.138","FUND"
"1.3.139","1.3.139","JOY"
"1.3.140","1.3.140","YUN"
"1.3.141","1.3.141","NENMOBI"
"1.3.142","1.3.142","KOREAN"
"1.3.143","1.3.143","TICKET"
"1.3.144","1.3.144","OPENFUND"
"1.3.145","1.3.145","GOOGLE"
"1.3.146","1.3.146","CONCERT"
